epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3634,1.37186,1.33903,1.02609,0.62317,0.40887,0.45125,0.26093,1.37302,1.08073,1.03337,0.000554173,0.000554173,0.000554173
2,77.7303,1.33904,0.98861,1.0296,0.65056,0.42869,0.47822,0.27302,1.35389,0.94174,1.02024,0.00108786,0.00108786,0.00108786
3,114.808,1.34964,0.93772,1.0332,0.66856,0.43095,0.47458,0.27945,1.3203,0.89363,1.02303,0.00159955,0.00159955,0.00159955
4,152.118,1.31316,0.87748,1.02022,0.66198,0.44111,0.49678,0.29445,1.29749,0.86817,1.0084,0.00156798,0.00156798,0.00156798
5,188.629,1.27144,0.8379,1.00723,0.67999,0.45434,0.50565,0.30257,1.27728,0.84027,1.00981,0.00153497,0.00153497,0.00153497
6,225.858,1.26082,0.81713,1.0008,0.68052,0.44769,0.50802,0.30152,1.27511,0.83076,1.00572,0.00150197,0.00150197,0.00150197
7,262.688,1.24452,0.80109,1.0001,0.69593,0.45899,0.5193,0.31298,1.2397,0.79896,0.9949,0.00146896,0.00146896,0.00146896
8,299.184,1.23992,0.7941,0.99928,0.68083,0.45302,0.51577,0.31098,1.2316,0.80508,0.98946,0.00143595,0.00143595,0.00143595
9,335.717,1.21045,0.76816,0.9906,0.70956,0.46245,0.51537,0.31228,1.22616,0.81722,0.99431,0.00140295,0.00140295,0.00140295
10,372.396,1.20376,0.75902,0.9898,0.68223,0.4693,0.52753,0.31892,1.21245,0.77613,0.98128,0.00136994,0.00136994,0.00136994
11,409.971,1.19651,0.75142,0.98449,0.71775,0.45932,0.53187,0.3226,1.20398,0.77153,0.9783,0.00133693,0.00133693,0.00133693
12,446.888,1.19833,0.75109,0.98279,0.71532,0.4739,0.53125,0.32159,1.20438,0.76947,0.98181,0.00130393,0.00130393,0.00130393
13,483.791,1.17848,0.73114,0.97732,0.70588,0.47391,0.53752,0.32529,1.19925,0.75691,0.97828,0.00127092,0.00127092,0.00127092
14,520.882,1.17378,0.73064,0.97595,0.71742,0.47816,0.54163,0.32879,1.17936,0.75532,0.97648,0.00123791,0.00123791,0.00123791
15,557.746,1.16634,0.72274,0.97297,0.68917,0.48145,0.53873,0.32757,1.18724,0.75315,0.97368,0.00120491,0.00120491,0.00120491
16,594.712,1.15284,0.70904,0.96712,0.72566,0.47968,0.54338,0.33067,1.18599,0.73995,0.97981,0.0011719,0.0011719,0.0011719
17,631.739,1.15108,0.70962,0.9693,0.70686,0.49698,0.55538,0.33866,1.16685,0.72469,0.96928,0.00113889,0.00113889,0.00113889
18,669.021,1.15278,0.70723,0.96777,0.7051,0.48165,0.5485,0.33869,1.15684,0.72709,0.96609,0.00110589,0.00110589,0.00110589
19,705.845,1.12898,0.69312,0.96323,0.71255,0.47794,0.54691,0.33815,1.15839,0.72775,0.96608,0.00107288,0.00107288,0.00107288
20,742.672,1.13475,0.69404,0.96304,0.71109,0.475,0.54387,0.33569,1.15798,0.72392,0.96582,0.00103987,0.00103987,0.00103987
21,779.915,1.12406,0.68522,0.95569,0.71584,0.49431,0.55826,0.34361,1.15165,0.71729,0.9611,0.00100687,0.00100687,0.00100687
22,818.084,1.12998,0.68839,0.96107,0.7263,0.48657,0.56013,0.34406,1.15123,0.7104,0.96189,0.000973861,0.000973861,0.000973861
23,856.235,1.11939,0.68055,0.95907,0.7139,0.49386,0.5581,0.3457,1.14733,0.7092,0.96225,0.000940855,0.000940855,0.000940855
24,893.513,1.11471,0.67405,0.95327,0.72521,0.49278,0.55915,0.34873,1.13638,0.70186,0.95541,0.000907848,0.000907848,0.000907848
25,931.283,1.09653,0.66332,0.95162,0.73519,0.49461,0.56345,0.34944,1.13235,0.69806,0.96077,0.000874842,0.000874842,0.000874842
26,968.18,1.09574,0.66375,0.94813,0.71705,0.49757,0.56274,0.35007,1.12912,0.69386,0.95649,0.000841835,0.000841835,0.000841835
27,1006.01,1.10779,0.66687,0.94848,0.73494,0.5017,0.56995,0.35331,1.12611,0.69755,0.95536,0.000808828,0.000808828,0.000808828
28,1043.21,1.09935,0.65631,0.94507,0.72353,0.50165,0.56705,0.35254,1.12456,0.69156,0.9579,0.000775822,0.000775822,0.000775822
29,1080.54,1.0906,0.65743,0.94757,0.73829,0.49559,0.56478,0.35503,1.11939,0.67727,0.9526,0.000742815,0.000742815,0.000742815
